sentence,review_title,Sentiment_Type
pondicherry cafe sofitel hotel bkc huge spread restaurant excellent food courteous staff gone lunch buffet weekday weekends still shut mumbai food excellent wide variety dishes pizza pasta live stations mr noheed gave us exceptional service chef mandar made exotic prawns dish us family 4 thoroughly enjoyed quality time spent together covid times full value money sunday brunch though friday till weekends curtailed mumbai will relax week day many thanks helpful staff pondicherry cafe,Lunch at Pondicherry Cafe,1
visit sofitel taken care extremely well mrnoheed ensured special food daughter prepared relished well special thanks chef mandar created jain dishes request infact noheed sofitel team primarily one reasons us renew accor membership recommend people around even staff especially johnny warm visit,A casual lunch,1
visited pondicherry cafe 2nd lockdown good experience thanks mind blowing service mrnoheed sufiyan delicious food chef vividh v enjoyed lot important took care 15yrs daughter well cant expect anything spread small taste hygiene markgreat service n best food experience usual,Good experience and best service,1
opportunity lunch pondicherry cafe sofitel bandra today experience indeed exhilarating food served staff courteous friendly quality food excellent worth going bak mr nohed manager charge took good care troupe always ready help going back pondicherry cafe good food good service great ambience chef prashant kitchen excellent usual pizza ladies team dished crispy pizzas thank,MrVinay Parelkar ex,1
nicely greeted hotel clean neat staff service excellent especially noheed shaikh good quality superb ans whatever asked served enjoyed ambience food amazing service sofitel team keep,Sofitel visit,1
exceptional service provided staff hotel room cleanliness point special thanks msneha painuly hospitality hope discount future hotel,Business stay,1
stay sofitel hotel wonderful short break gym spa now open hotel rooms purple pretty view city restaurant lobby nice kirsten front desk assisted us checking kind,Staycation,1
great location fantastic staff amazing selection offer breakfast nice place food drinks overall service enjoyed time wonderful place excellent hospitality sanitization protocol followed norms staff wearing masks gloves throughout ask safety norms covid followed place clean hygienic,Excellent stay,1
come hare krishna diamond business meeting need urgent last minute help mahadev saviour concierge desk ensure last minute request fulfilled doubt great asset sofitel hotel informative knowledgeable person really love sofitel hotel business meeting worth looking forward visit lovely hotel soon kudos sofitel hospitality top notch service,Best Concierge in Town,1
loved stay sofitel must say one best places terms food ambiance entire place general staff really welcoming make feel home far away thank much making experience memorable one,Amazing stay,1
one best property visited neat tidy staff helpful especially neha painuly guided us everything cooperative surely gonna visit soon highly recommended,One of the best property,1
surreal experience hospitality standards roof loved every bit stay special mention rajesh ishaan manohar help making stay comfortable 100 recommended family friends,Lovely Staycation,1
really pleasant stay well staff friendly accommodating approachable amazing service looking forward alot weekend getawayss mooore amazing foooooddd,Weekend getaways,1
rooms clean comfortable staff amazing went beyond help make stay enjoyable overall great experience staff incredibly helpful food great,Stay,1
outstanding service polite staff enjoyed ambience especially food comfort provided thanks chef arvind always taking care us looking foreword seeing new recipe kitchen best regards kunal grover,Food,1
hotel business hub bkc humble staff valet house keeping pleasant experience single moment vouch complain kudos urvi front desk managed give corner room requested fellow cousins enjoyed food aswell overall cant complain,Ecstatic Stay,1
wonderful experience every staff member encountered valet check cleaning staff delightful eager help service well food amazing perfect getaway,Weekend getaway,1
best hotel privileged enough stay gorgeous buildingand gets breathtaking walk high quality rooms high quality service property clean fantastic charmoverall best,"I had wonderful experience accomodating at the SofitelThe rooms were clean,very comfortable Special thanks to Ishan And Manoh",1
frequent visitor property mumbaisofitel hotelgreat staff great food good location cleaneveryone super helpful special thanks mr mahadev concierge facilitates co ordinates requirements guestno matter big smallgreat place,Great place to behome away from home,1
visited sofitel one night stay restaurant open pondicherry 45 guests evening took restaurant hour service coffee took repeated reminders coffee check dinner breakfast pale shadow used imagine cheese plate breakfast buffet french chain answer service assistant stopped keeping better foodservice 2star airbnbs country worth,Poor service Experienced a run down Pondicherry,-1
visited sofitel celebrate birthday hotel super nice staff reception friendly kirsten suprised sending cake got bubble bath set done room nice spacious three people thank great birthday sofitel,Sofitel staycation,1
mumbai personal work meantime meet friend decided meet sofitel grand hotel welcome nice care taken process followed completely ambiance rich good meeting job done good experience,"Fantastic hotel, great luxury",1
wonderful stay usual rooms comfortable food great special mention mahadev concierge desk really helpful arranging number parcels provided fantastic recommendations food went beyond arrange booking thank much will definitely return,Business Stay,1
visited mumbai family function last month room full character comfort sofitel peaceful quaint relaxing feel mahadev friendly greeted door smile gave great tips local areareally enjoyed trip recommend stay enjoy hospitality,My trip to mumbai during covid times and my stay at Sofitel,1
pleasant stay sofitel mumbai bkc room comfortable team friendly courteous efficient felt welcomed will definitely back soon next weekend getaway city requested kirsten room nice view city really view room,"Amazing stay, extremely helpful staff",1
amazing stay hotel frequent traveller mumbai always prefers stay sofitel bkcbecause service amazing staff helpful specially connect front office accommodating helpful thanks amazing service keep good job,Excellent service,1
traveling business sisters one worst hotel experiences mainly communication efforts staff duty reached around 130 checkin 2 hung around lobby area extremely crowded moment due wedding party guests lobby area wearing masks hotel staff nothing till personally went requested something 150 asked room ready told young lady named anuja desk getting ready triple occupancy work right away requested wifi password straight denied access wifi room assigned,Terrible terrible hospitality,-1
amazing food hospitality entire team sofitel noheed vikas good hospitality provide gives warm homely feeling chef vividh fantastic job everything well made specially quality taste food deserve highest rating,Dinner at sofitel  mumbai,1
best hotel stay bkc hotel everything nearby delicious food many varieties breakfast hotel staff helpful hotel best couple family rooms spacious,Mr Akang Shah,1
excellent service food expensive mr nosheed kind n hardworking missed pool loved thali concept wastage n eating lot improvement service restaurant staff arrogant n rude,Anniversary celeb,1
wonderful experiencethe hospitality really good noheed pondicherry cafe greeted treated us wellbig thankyou noheed rooms clean staff helpful courteousfood really good,Wondeful experience,1
worst sofitel stayed non maintained room flush club category room wasnt working checked next fridge issue wait lot flush fixed dint bother change room none management even called apologizeabsolutely unprofessional staff,Rooms are notaintaned,-1
good hotel suitable location bandra kurla complex clean rooms good breakfast better close us consulate walking distance good hotel business trips,A very good hotel with great customer service,1
hi team sofitel bkc proven us u certaintly best staff crew outstanding work room service team housekeeping great hospitality front desk shabana neha always ready assist need keep great work certinaly will recommend friend family company lot crew joining t comming months thank stay safe terence fernandes 505,Terence fernandes rccl,1
hotel staff welcoming warm neha reception particularly made sure everything need taken care service attitude brilliantly refreshing diyanshu breakfast area prompt fantastic job,Stay,1
hotel situated quiet location check check process smooth upgraded room junior suite prestige suite room calm refreshing ambience staff polite helpful food pondicherry cafe espeicially delicious,Pleasant stay,1
absolutely outstanding hotel helpful friendly staff go beyond make sure best time enjoyed stay hotel food really amazing chef sanket joshi thank highly recommend hotel,Excellent,1
quarantine almost 16 days didnt chance explore room service staff done excellent job specially sudarshan maheshdurgesh tanmay friendly punctual meal timings preferences thank entire room service staff taking good care proving excellent service,Would like to appreciate the hard work done by the hotel staff,1
name bernard rodrigues work rccl cruises one best cruise companiesso chosen one best hotel put crew quarantine period 14days per company protocol sofitel hotel 4thjune will till 21st june must say fari great experience room 14th floor 1425 cozy comfortable great view service hotel staff amazing especially fb dept staff members sudarshan durgesh nikita mahesh somnath name giving best service whole heartedly make sure whatever need definitely come family friends recommend,Quarantine Crew From RCCL(company),1
great time sofitel hotel mumbai reasonable price great food quality staff amazing took good care us breakfast food general excellent will come one day thanks u made us feel home away frm home,Party,1
good stay mr nithin front office helpful entrance lobby restaurant room service excellent location stone though away american consulate breakfast spread wide food yummy,Excellent,1
room 1001 ossim stayroom service great food best cant elaborate ab foodhouse keeping vv helpful thanks serving mehad great stay niteshdurgestpratiksomnathjohny,Reveiw,1
stay comfortable breakfast buffet outstanding quick service staff checkin room service checkout lunch dinner ordered outside taken room questions asked,Pleasant Stay,1
located hub business district bkc beautiful property lovely rooms great ambiancethe staff extremely polite courteous fulfilling needs breakfast spread wide food yummy,Great Property at a great location,1
stay hotel first time loved hotel great ambience amazing staff awesome food provide excellent service hotel area clean hygienic follow protocols necessary pendamic really felt home special thank mr jhony always helpful hardworking recommend hotel friends family,"Excellent service by Nitesh shetty,Durgesh,Pratik,Somnath,Jhony",1
quarantine sofitel whilst theres many options due quarantine 1 thing definitely stood service sudarshan room dining always cheerful courteous friendly always checking needed anything okay,Great service,1
stayed sofitel bkc 2 nights extremely happy services front desk team efficient super friendly thanks manager shift ruhi colleagues kirsten urvi neha visiting sure,Great Stay & Friendly Staff,1
recently shifted mumbai pune husbands company provided us 10 day hotel stay corporate booking included 3 meals upgraded check 12th floor room room nicely done bit small coming restaurant one restaurant artisan operational weekdays weekends pondicherry cafe operational manage weekend crowd weekends crowd gets big managing becomes somewhat issue though proper covid protocols place buffet guests dont listen wearing disposable gloves buffet breakfast worrying specially times loved hotel staff artisan restaurant child 7,An extremely pleasant stay,1
sofitel first place comes mind comes staycation rooms cozy elegant love bath tub staff extremely kind offer us cake request well meals really good breakfast spread best thank shabana making stay comfortable making sure provided required assistance time inroom dining staff prompt definitely visit,A stay to remember,1
amazing time sofitel firstly covid norms place made us feel ease ms shabana raj accommodating helpful needs great fun bachelorette weekend thank ms raj,Fun weekend getaway,1
always joy going sofitel mumbai bkc kirsten miranda polite helpful made experience even pleasurable overall experience positive staff efficient hotel aesthetic,Always a joy,1
greatly enjoyed visit sofitel bandra kurla complex hotel beautiful staff really kind eager make visit joy guests especially evident kirsten miranda took great efforts make sure visit enjoyable pleasing,Greatly enjoyed our visit,1
service provided sofitel excellent particular appreciate server mr nikhil chauhan extremely kind polite best service received till date excellent one thing point mattresses pillows soft provide good support back neck resulting body ache hotel staff kind enough replace pillows firmer ones,Excellent experience,1
needed escape lacquer fumes home decided last minute room sofitel rate pretty reasonable sofitel singapore luxurious plush hoping similar experience check smooth seamless room appointed good size service good needed extra towels slippers quilts brushes everything appeared without much delay room without view late night check view matter towels pillow quality better room seem dated luxurious good enough breakfast included price service good nikhil manned table excellent good spread south indian food excellent unfortunately,One Night Last Minute Stay,1
rooms good compared 5 star hotel pretty small focus maintaince service really prompt kudos amit operator fulfilled requests without delay,Decent place for staycation,1
1 breakfast elaborated less things eat cmon ll meant amazing outstanding buffet happened really happy breakfast please include dishes 2 ac cooling another problem theyhave set room temperature sowe cant even increase decrease toohumid advising kindly give controls ac customers,Preety Good but not so Bad,1
mahadevneha kristen provided us fantastic service staff courteous good food rooms area clean nice hotel great hospitality thank safe wonderful stay,The hotel was fantastic,1
happen stay sofitel early march well impressed saftey sanitation standards rooms hotels clean restaurants served good food felt safer inside thank safe wonderful stay,Safe stay,1
amazing hotel great hospitality enjoyed food staff friendly protocols taken ensure safety guests must visit hotel will definitely come back,Leisure Trip,1
rajesh manohar housekeeping provided us fantastic service staff courteous best holiday experience hotel food awesome room neat crisp sofitel class,The hotel was fabulous,1
service poor slow call something will 30 min ask room cleaning will done 1 hr covid situation dont offer clean rooms finger prints previous guests stayed room floor dirty spread breakfast upto mark per brand one mental harassment staying,Worst stay ever,-1
great stayms urvi front desk hospitable warmingwe great experienceshe helpful approachableshe gave us upgrade made stay memorable highly recommended stay staff helpful kindthey maintained social norms,Family weekend,1
hotel beautiful excellent staff members attending needs trip short truly amazing special thanks mandar catering needs smile times will certainly visit,Excellent service,1
recently stayed day suite 8th floor got good deal online site bkc new upscale corporate hub mumbai many big companies banks mncs located several popular restaurants many celebrity homes nearbybandra great street shopping decently crowded saturday afternoon checked entered 8th floor faint dampness odour emnating carpet everything quite goodour room spacious lunch buffet inr 2000 per head steep opinion limited spread sushi cold cuts live grills etc rasmalai got wait 45 mins serve us even packed portion,"Excellent location,good hospitality",1
pandemic room tariffs extremely cost effective service good top goof 1st night went dine staff said 4 course dinner complimentary ordered ate went back room v happy call comes restaurant say error will billed soup say errors less guests staying hotel doesnt speak high brand,Value for money,1
stayed 4 nights recently experience amazing nicely located rooms excellent staff courteous polite welcoming breakfast spread lavish delicious bose speakers suite rooms amazing used gym spacious equipments surely stay recommend network,Amazing property with excellent service,1
amazing journey sofitel sweetest bunch staff excellent stay made feel staying home firstly sofitel amazing aura posseses positivity really want tell rooms pleasant clean appreciate staff people incredibly helpful generous decent nature starting security staff ashok dubey sharp personality ethics never forgot greet smile evn jamshuddin jeevan krishna raj equally wonderful people chill front desk umesh mayank always helped words wisdom make stay happening jinen mandar urvi priyanka,Love for Sofitel Is Selfless 🤩,1
tanmoy great job took care needs perfect attendant tanmoy reason experience got cheerful nice luxury hotel situated centre mumbai bkc,"My experience at this hotel was wonderful, All credits to Tanmoy",1
lovely stay sofitel mumbai bkc kirsten staff friendly professional food amazing great service cant wait come back soon great going team sofitel,Wonderful stay,1
wonderful time hotel looking forward staying next visit bombay special thanks kirsten kindness professionalism ill remember smoking zone next time,Wonderful stay,1
went sofitel weekend rooms spacious bed super comfortable food great staff took great measures make sure social distancing maintained thank dione helping us right time checked till check,Excellent,1
first visit property accor generally m marriott person must say right time stepped hotel checked overwhelmed caring staff services hotel offered will definitely come back soon forget special mention anuja reception ms shabana thank ensuring stress free stay taking care smallest request,Perfectly Rejuvenated ,1
good ambience helpful staff especially dione sequeira front desk rushil shetty food hospitality department clean neat rooms provided complimentary cake friends birthday,Bhavach Vaad divas,1
entire family celebrated womens day sofitel pondicherry cafe mr noheed team extremely kind made memorable experience us appreciate hotels effort felicitating lady police officers worked hard covid times keeping us safe,Women's Day Celebrations,1
amazing place nice service good ambience staff amazing especially rushil shetty dione sequeira helped us visit good place stay security tight,Friends birthday,1
room nice staff helpful especially dione sequiera rushil shetty helped us alot friendly us security helpful valet parking good,Friends bday,1
good staff especially dione sequeira rushil shetty helpful behavior place worth price really nice rooms personally suggest place security staff helpful valet parking nice,Friends birthday,1
helpful staff dione sequeira front desk rushil shetty hospitality department provided cake friends birthday good food rooms neat clean helpful security valet parking,Friends birthday,1
helpful staff especially dione sequeira rushil shetty hospitality food department respectively good room service front desk polite security helpful staff members,Friends birthday,1
knew got single lady traveller room allotted accordance highly appreciate love flexibility guest needs ruhi kirsten nithin gems assets hotel,Single lady traveller,1
hotel stay downtown mumbai best stay environment pleasant welcoming checkin checkout professionally handled easy extremely convenient location staff going beyond ensure fantastic experience covid protocols exemplary felt extremely safe special thanks general manager vikas front office manager nitiin will definitely recommend hotel business associates,Hinesh,1
best hotel town love service ambience food best best go sofitel facilities nice staff polite always ready help friends alll requests thank team sofitel,Great stay at Sofitel,1
stayed sofitel celebrate 1st anniversary rooms romantic perfect couples kirsten helped surprise wife sending delicious chocolate cake getting bubble bath set done sofitel new favourite hotel stay celebrations,French Romance,1
best place stay need break working home hotel located bkc convenient almost restaurants open room spacious comfortable kirsten front desk assisted check explained facilities hotel wifi speed decent enough work hotel will visit soon thanks good break,Stacation,1
wonderful staycation sofitel bkcright warm welcome reception mr siddheshlovely staff artisian good foodpondicherry staff mr prakash looked us personally caring warm personhelpful service tanmaymr amit gave us personal attentionthe dinner breakfast awesomewe felt really good room really nice amenitiesthe hotel maintains protocol required covid periodfeel safe love come back,Memorable Stay at Sofitel BKC,1
checked hotel celebrate wedding anniversary booked opera suite got upgrade prestige suite time check wonderful later service jyran exemplary though biryani dish per likeness breakfast buffet pretty satisfactory service good special mention tanmoy took care us well overall sofitel bkc mumbai great stay us hotel level precovid glory days coz find unattended plants garden dust dirt places especially areas less explored guests must appreciate brave spirited effort put team keep engine running kudos,Romantic Stay thanks to Team Sofitel,1
service good except drinking water given plastic bottle bad quality provided proper glass glasses ice use radio stations catching bose system coffee provided use thru coffee maker,A Decent escape from Routine,-1
im dr minhal punjabi staying 8 months honest review covid doctor order prevent spread virus prestigious luxurious sofitel 5 star hotel happily accommodated 300 doctors open arms entire staff dedicated service working overtime barely minimal wages make sure comfortable despite tumultuous demands needs patrons staff proven versatile approachable group professionals things done despite stressed exhausted always remain polite humble entire team catering needs 24x7 undoubtedly equivalent front liners food beverages chef vivid patel,TRUE WARRIORS,1
excellent hospitality sofitel team 2 consecutive days business conference went well even last moment additionchanges handled smoothly team special thanks smita sachin paratik nikhil paresh mayur wonderful experience,Business Conference Meet,1
place never seizes amaze enough jyran easily best place chill saturday night ambience open air section brilliant staff members jyran includes sufiyan ritesh brilliant extremely professional work courteous polite definitely recommend everyone give try youll surely loyal jyranite good guest relationship manager mr nitin delight speak look forward celebrating weekends place long long time keep good work cheers,Super duper Amazing place,1
room neat clean bedding linen perfect bathroom tub space huge convenient kids especially breakfast spread small jains staff ensured got freshly made food optionsalthough poolspa amenities werent available still stay pretty great view room super sad one drawback tourists airport allowed quarantined serious worry catching corona due presence hotel,Just another awesome weekend stay place,1
relaxing stay loved arrangements made nahueed mayur chile small family celebrations liked room facilities services fast time food tasteis good wouldlike visit,Comfortable relaxing stag,1
travelled stayed first time sofitel bkc mumbai stay pleasant covid time precautions terms safety hygiene mark breakfast great wide variety safety presentation manager yuvraj ghatage cooperative humble stay gave 5star experience stay travelling kid special need youvraj made sure comfortable open help needed really appreciate ghatage hospitality kind gesture love stay town keep good work amazing hotel,amazing stay and cooperative manager Yuvraj ghatage,1
sofitel gave us one best experience staff warm helpful special thanks mr yuvraj special attention efforts making anniversary memorable event us will definitely recommend sofitel planning getaway partner,Anniversary celebration,1
giving 3 star extra bed booked 3 occupancy room spread bedsheet couch provided blanket whole night sleep folded legs m 55 please book another room dont expect things sofitel everything great hospitality food cleanliness great,good,1
great property staff welcoming measures taken pandemic good loved atmosphere food special thanks dione front desk team taking good care us,Awesome stay,1
come sofitel january first visit hotel sofitel left stones unturned delight right check check everything went smooth housekeeping done wonderful job maintain good upkeep special mention duty manager yuvraj approachable team member constantly kept touch stay ascertain comfort,Wonderful experience,1
fabulous time anniversary sofitel mr yuvraj fantastic arrangement stay thank mr yuvraj sofitel making day special think going forward ill celebrate special days sofitel thanks chefs excellent food,Visited for my Anniversary,1
enjoyed alot especially 3 year old kid enjoyed colour painting gift child papers crayonsthanks kirsten gift kid loves painting check got crayons excited loved cake well breakfast tasty thanks ruturaj melvyn priyanka jinen cooperative helping comfortable special thanks yuvraj politealways smile face much helpful loved ambience create u pride real gem sofitel keep great work always,Lavish stay at Sofitel mumbai,1
kirsten miranda kind helpful lobby hotel beautiful stay great experience dined artisan food service top notch good experience overall,Enjoyable Stay,1
booked sofitel ballroom wedding reception brother 20th feb 2021 service support sofitel team amazing organization team pratik mayur sachin nikhil smita wonderful job especially ongoing covid restrictions arranging food counters placement sanitizers strategic points everything prim perfect hygiene sanitization expected guests special requests well taken care additional good job helping us comply government restrictions maintaining social distancing muslim walima wedding reception food initially skeptical usually 5 start hotel food bland indian,Wedding Reception,1
hotel really state art beautiful dined artisan food ambience impressive kirsten miranda lobby really kind helpful overall friends greatly enjoyed visit sofitel,Pleasurable Experience,1
sofitel 100loved place services attentiveness heads staff wanna compliment extreme happiness nitin nambiar super star means magic wand solves support need equally happy prakash made sure breakfast best best hotel clean makes u feel positiveshould go immediatelyits strongly recommended,Valentine’s Day staycation,1
absolutely stunning french ambiance one best hotels stayed room devine lucky enough upgraded suite food excellent variety choice fresh excellently prepared served staff true jewel hotel one happy family ready meet needs best us create memories lifetime made note warm quite room always happy preferences noted hotel special thanks host ms ruhi always one step needs highlight trip outstanding service received staff sofitel capable leadership ms ruhi hotel manager stay made expectations,"Highly, Highly Recommended",1
one worst service 5 offer service industry even though room good bed comfortable big one kind welcome drink experience many hotels serve flavoured water got choose mocktail tea soda one restaurants menu mean provide average service guest staying late toiletries many issues came celebrate valentines day relax team didnt let stone unturned make worst start intercom didnt work call something person able hear us raised complainant 2 time nothing happened 3rd time went,Worst service,-1
